average_meeting_duration,mice_combination,number_of_meetings,phase,room_id,total_meeting_duration
176159.37593984962,0065-0136670531_0065-0136655780,133,PHASE 3 dark,2,23429197
6015.75,0065-0136670531_0065-0136655780,4,PHASE 3 dark,3,24063
189226.33333333334,0065-0136670531_0065-0136655780,3,PHASE 3 dark,4,567679
165606.83333333334,0065-0136670531_0065-0136655780,6,PHASE 3 light,1,993641
568919.89361702127,0065-0136670531_0065-0136655780,47,PHASE 3 light,2,26739235
417182.31818181818,0065-0136670531_0065-0136673193,22,PHASE 1 dark,1,9178011
17842.307692307691,0065-0136670531_0065-0136673193,39,PHASE 1 dark,2,695850
201917.34375,0065-0136670531_0065-0136673193,96,PHASE 1 dark,3,19384065
11709.942857142858,0065-0136670531_0065-0136673193,35,PHASE 1 dark,4,409848
560618.2884615385,0065-0136670531_0065-0136673193,52,PHASE 1 light,1,29152151
14697.0,0065-0136670531_0065-0136673193,2,PHASE 1 light,2,29394
59773.0,0065-0136670531_0065-0136673193,2,PHASE 1 light,3,119546
68823.916666666672,0065-0136670531_0065-0136673193,24,PHASE 1 light,4,1651774
238383.08849557521,0065-0136670531_0065-0136673193,113,PHASE 2 dark,1,26937289
1113892.625,0065-0136670531_0065-0136673193,8,PHASE 2 dark,2,8911141
47526.176470588238,0065-0136670531_0065-0136673193,17,PHASE 2 dark,4,807945
4930.0,0065-0136670531_0065-0136673193,2,PHASE 2 light,1,9860
392334.54666666669,0065-0136670531_0065-0136673193,75,PHASE 2 light,2,29425091
6812.5,0065-0136670531_0065-0136673193,4,PHASE 2 light,3,27250
41065.666666666664,0065-0136670531_0065-0136673193,3,PHASE 2 light,4,123197
266399.85714285716,0065-0136670531_0065-0136673193,7,PHASE 3 dark,1,1864799
290340.01234567899,0065-0136670531_0065-0136673193,81,PHASE 3 dark,2,23517541
19088.599999999999,0065-0136670531_0065-0136673193,5,PHASE 3 dark,3,95443
393905.0,0065-0136670531_0065-0136673193,3,PHASE 3 dark,4,1181715
445287.21428571426,0065-0136670531_0065-0136673193,14,PHASE 3 light,1,6234021
965225.4444444445,0065-0136670531_0065-0136673193,27,PHASE 3 light,2,26061087
269141.77500000002,0065-0136670531_0065-0136659288,40,PHASE 1 dark,1,10765671
28230.156862745098,0065-0136670531_0065-0136659288,51,PHASE 1 dark,2,1439738
40097.931972789112,0065-0136670531_0065-0136659288,147,PHASE 1 dark,3,5894396
10458.0,0065-0136670531_0065-0136659288,48,PHASE 1 dark,4,501984
561419.52000000002,0065-0136670531_0065-0136659288,50,PHASE 1 light,1,28070976
9069.25,0065-0136670531_0065-0136659288,4,PHASE 1 light,2,36277
13011.142857142857,0065-0136670531_0065-0136659288,7,PHASE 1 light,3,91078
101725.18181818182,0065-0136670531_0065-0136659288,11,PHASE 1 light,4,1118977
98454.347222222219,0065-0136670531_0065-0136659288,144,PHASE 2 dark,1,14177426
550164.36842105258,0065-0136670531_0065-0136659288,19,PHASE 2 dark,2,10453123
12025.363636363636,0065-0136670531_0065-0136659288,11,PHASE 2 dark,3,132279
