No,Size,Intensity,Animal_number,Picture_number,Age
41.0,2.502621,503.267593,1172.0,1.0,19.0
42.0,2.334522,268.031257,1172.0,1.0,19.0
43.0,2.965541,324.692169,1172.0,1.0,19.0
44.0,2.541744,260.231297,1172.0,1.0,19.0
45.0,2.806648,300.046417,1172.0,1.0,19.0
46.0,2.522831,324.850161,1172.0,1.0,19.0
47.0,2.664073,345.87781,1172.0,1.0,19.0
48.0,2.616639,395.254537,1172.0,1.0,19.0
49.0,2.668095,255.521439,1172.0,1.0,19.0
1.0,2.810062,238.392972,1172.0,2.0,19.0
2.0,2.375746,271.008331,1172.0,2.0,19.0
3.0,2.637467,289.160243,1172.0,2.0,19.0
4.0,2.784857,253.451026,1172.0,2.0,19.0
5.0,2.326673,327.306258,1172.0,2.0,19.0
6.0,2.503314,305.071789,1172.0,2.0,19.0
7.0,2.50759,247.5077,1172.0,2.0,19.0
8.0,2.637876,395.098112,1172.0,2.0,19.0
9.0,2.897669,303.414922,1172.0,2.0,19.0
10.0,2.541665,282.625368,1172.0,2.0,19.0
11.0,2.86985,259.884636,1172.0,2.0,19.0
12.0,2.735141,280.272158,1172.0,2.0,19.0
13.0,2.997458,266.465446,1172.0,2.0,19.0
14.0,2.795586,340.681254,1172.0,2.0,19.0
15.0,2.30682,365.762162,1172.0,2.0,19.0
16.0,2.83046,248.956977,1172.0,2.0,19.0
17.0,2.306216,324.012532,1172.0,2.0,19.0
18.0,2.621723,358.218004,1172.0,2.0,19.0
19.0,2.405382,311.86846,1172.0,2.0,19.0
20.0,2.329949,302.330374,1172.0,2.0,19.0
21.0,2.809058,327.481932,1172.0,2.0,19.0
22.0,2.803553,252.936361,1172.0,2.0,19.0
23.0,2.54917,255.725101,1172.0,2.0,19.0
24.0,2.703693,303.482244,1172.0,2.0,19.0
25.0,2.899901,156.687264,1172.0,2.0,19.0
26.0,2.871401,208.903955,1172.0,2.0,19.0
27.0,2.94535,297.518148,1172.0,2.0,19.0
28.0,2.537641,332.462487,1172.0,2.0,19.0
29.0,2.410905,286.392576,1172.0,2.0,19.0
30.0,2.897433,251.884307,1172.0,2.0,19.0
31.0,2.601924,293.579047,1172.0,2.0,19.0
32.0,2.452545,311.143541,1172.0,2.0,19.0
33.0,2.593903,265.71253,1172.0,2.0,19.0
34.0,2.350733,368.165954,1172.0,2.0,19.0
35.0,2.999881,205.70381,1172.0,2.0,19.0
36.0,2.390154,367.805238,1172.0,2.0,19.0
37.0,2.816746,343.082524,1172.0,2.0,19.0
38.0,2.830015,270.827518,1172.0,2.0,19.0
39.0,2.317456,249.959807,1172.0,2.0,19.0
40.0,2.688564,233.089782,1172.0,2.0,19.0
41.0,2.599519,247.297368,1172.0,2.0,19.0
42.0,2.486878,370.953608,1172.0,2.0,19.0
43.0,2.381917,320.260036,1172.0,2.0,19.0
1.0,2.812824,325.21788,1172.0,3.0,19.0
2.0,2.734301,280.885286,1172.0,3.0,19.0
3.0,2.487035,337.586532,1172.0,3.0,19.0
4.0,2.817408,234.878024,1172.0,3.0,19.0
5.0,2.632993,332.028642,1172.0,3.0,19.0
6.0,2.329814,265.581703,1172.0,3.0,19.0
7.0,2.731149,329.905681,1172.0,3.0,19.0
8.0,2.993612,277.967685,1172.0,3.0,19.0
9.0,2.550139,297.702043,1172.0,3.0,19.0
10.0,2.620645,329.768839,1172.0,3.0,19.0
11.0,2.483603,160.905883,1172.0,3.0,19.0
12.0,2.340108,291.642565,1172.0,3.0,19.0
13.0,2.717516,297.007623,1172.0,3.0,19.0
14.0,2.517715,307.527364,1172.0,3.0,19.0
15.0,2.386308,417.256877,1172.0,3.0,19.0
16.0,2.601361,348.958292,1172.0,3.0,19.0
17.0,2.502796,195.257648,1172.0,3.0,19.0
18.0,2.817167,197.12956,1172.0,3.0,19.0
19.0,2.644646,319.953016,1172.0,3.0,19.0
20.0,2.651663,216.014507,1172.0,3.0,19.0
21.0,2.357129,257.01274,1172.0,3.0,19.0
22.0,2.495017,190.04228,1172.0,3.0,19.0
23.0,2.869575,355.440068,1172.0,3.0,19.0
24.0,2.424362,334.064669,1172.0,3.0,19.0
25.0,2.752751,264.583793,1172.0,3.0,19.0
26.0,2.786481,308.115602,1172.0,3.0,19.0
27.0,2.452772,265.719906,1172.0,3.0,19.0
28.0,2.738246,267.228455,1172.0,3.0,19.0
29.0,2.444769,308.126363,1172.0,3.0,19.0
30.0,2.522351,183.340383,1172.0,3.0,19.0
31.0,2.78025,255.358157,1172.0,3.0,19.0
32.0,2.358558,244.608453,1172.0,3.0,19.0
1.0,2.689683,323.691412,1172.0,4.0,19.0
2.0,2.535328,268.475948,1172.0,4.0,19.0
3.0,2.816252,310.115213,1172.0,4.0,19.0
4.0,2.516149,285.810633,1172.0,4.0,19.0
5.0,2.313673,310.156801,1172.0,4.0,19.0
6.0,2.497212,335.002158,1172.0,4.0,19.0
7.0,2.663974,218.596506,1172.0,4.0,19.0
8.0,2.365031,309.096552,1172.0,4.0,19.0
9.0,2.306069,316.312012,1172.0,4.0,19.0
10.0,2.395185,327.715643,1172.0,4.0,19.0
11.0,2.927273,205.108899,1172.0,4.0,19.0
12.0,2.918061,250.205492,1172.0,4.0,19.0
13.0,2.962293,269.811058,1172.0,4.0,19.0
14.0,2.685983,315.613138,1172.0,4.0,19.0
15.0,2.758157,262.179294,1172.0,4.0,19.0
16.0,2.671014,231.721095,1172.0,4.0,19.0
17.0,2.805852,312.734777,1172.0,4.0,19.0
18.0,2.557588,385.915993,1172.0,4.0,19.0
19.0,2.991178,301.731349,1172.0,4.0,19.0
20.0,2.700734,333.241099,1172.0,4.0,19.0
21.0,2.416197,299.301005,1172.0,4.0,19.0
22.0,2.973326,305.895829,1172.0,4.0,19.0
23.0,2.397202,244.1192,1172.0,4.0,19.0
24.0,2.373412,364.486656,1172.0,4.0,19.0
25.0,2.397685,313.738691,1172.0,4.0,19.0
26.0,2.866425,354.865894,1172.0,4.0,19.0
27.0,2.56118,256.476961,1172.0,4.0,19.0
28.0,2.769917,234.790712,1172.0,4.0,19.0
29.0,2.519563,342.775024,1172.0,4.0,19.0
30.0,2.940216,383.062347,1172.0,4.0,19.0
31.0,2.345883,195.324205,1172.0,4.0,19.0
32.0,2.998178,284.759483,1172.0,4.0,19.0
33.0,2.343577,262.394571,1172.0,4.0,19.0
34.0,2.920803,431.732018,1172.0,4.0,19.0
35.0,2.991082,256.944678,1172.0,4.0,19.0
36.0,2.436545,267.244965,1172.0,4.0,19.0
37.0,2.830161,294.577832,1172.0,4.0,19.0
38.0,2.430588,272.053015,1172.0,4.0,19.0
39.0,2.582503,362.261614,1172.0,4.0,19.0
